12Z 14 Mar 2016, 0.00, 20.68
12Z 15 Mar 2016, 0.00, 14.09
12Z 16 Mar 2016, 0.00, 9.26
12Z 17 Mar 2016, 0.00, 6.97
12Z 21 Mar 2016, 0.00, 7.22
12Z 22 Mar 2016, 0.00, 10.67
12Z 23 Mar 2016, 0.00, 6.27
12Z 24 Mar 2016, 0.00, 6.15
12Z 29 Mar 2016, 0.00, 11.67
12Z 04 Apr 2016, 0.00, 9.26
12Z 05 Apr 2016, 0.00, 9.99
12Z 06 Apr 2016, 0.00, 8.94
12Z 07 Apr 2016, 0.00, 24.12
12Z 11 Apr 2016, 1.82, 21.61
12Z 12 Apr 2016, 0.08, 21.43
12Z 13 Apr 2016, 0.00, 16.79
12Z 14 Apr 2016, 0.00, 14.99
12Z 18 Apr 2016, 0.00, 8.13
12Z 19 Apr 2016, 0.00, 7.88
12Z 20 Apr 2016, 0.00, 8.37
12Z 21 Apr 2016, 0.00, 6.14
12Z 25 Apr 2016, 0.00, 5.69
12Z 26 Apr 2016, 0.00, 9.22
12Z 28 Apr 2016, 0.00, 6.55
12Z 02 May 2016, 0.00, 17.58
12Z 03 May 2016, 0.00, 14.46
12Z 04 May 2016, 0.00, 11.06
12Z 09 May 2016, 0.00, 18.66
12Z 10 May 2016, 0.00, 14.65
12Z 11 May 2016, 0.00, 14.57
12Z 12 May 2016, 0.00, 15.14
12Z 17 May 2016, 10.88, 19.87
12Z 18 May 2016, 5.18, 24.27
12Z 19 May 2016, 0.00, 21.53
12Z 23 May 2016, 0.00, 9.72
12Z 24 May 2016, 0.00, 12.92
12Z 25 May 2016, 0.00, 10.93
12Z 26 May 2016, 0.00, 15.38
12Z 31 May 2016, 0.00, 16.86
12Z 02 Jun 2016, 0.00, 15.41
12Z 07 Jun 2016, 0.00, 14.18
12Z 08 Jun 2016, 0.00, 18.80
12Z 09 Jun 2016, 0.00, 18.30
12Z 13 Jun 2016, 0.00, 15.59
12Z 14 Jun 2016, 0.00, 14.31
12Z 15 Jun 2016, 0.00, 13.45
12Z 16 Jun 2016, 0.00, 11.78
12Z 20 Jun 2016, 0.00, 15.41
12Z 21 Jun 2016, 0.00, 28.46
12Z 22 Jun 2016, 0.00, 28.15
12Z 23 Jun 2016, 0.00, 18.33
12Z 27 Jun 2016, 0.00, 35.34
12Z 29 Jun 2016, 0.00, 35.55
12Z 30 Jun 2016, 1237.89, 48.89
12Z 05 Jul 2016, 0.00, 19.18
12Z 06 Jul 2016, 0.00, 22.19
12Z 07 Jul 2016, 25.09, 25.89
12Z 11 Jul 2016, 0.00, 13.78
12Z 12 Jul 2016, 0.00, 16.29
12Z 13 Jul 2016, 0.00, 17.12
12Z 14 Jul 2016, 0.00, 22.38
12Z 18 Jul 2016, 0.00, 36.70
12Z 19 Jul 2016, 0.00, 35.82
12Z 20 Jul 2016, 0.00, 33.97
12Z 21 Jul 2016, 0.00, 39.81
12Z 25 Jul 2016, 172.65, 41.86
12Z 26 Jul 2016, 327.63, 47.57
12Z 27 Jul 2016, 0.00, 39.23
12Z 28 Jul 2016, 77.00, 39.32
12Z 02 Aug 2016, 49.63, 51.83
12Z 03 Aug 2016, 0.00, 45.86
12Z 04 Aug 2016, 0.00, 44.08
12Z 08 Aug 2016, 0.00, 16.73
12Z 09 Aug 2016, 441.92, 31.82
12Z 10 Aug 2016, 1475.57, 40.61
12Z 11 Aug 2016, 1643.73, 40.56
12Z 15 Aug 2016, 720.58, 33.98
12Z 16 Aug 2016, 302.62, 30.49
12Z 17 Aug 2016, 0.93, 27.20
12Z 18 Aug 2016, 94.90, 37.92
12Z 22 Aug 2016, 1423.88, 38.78
12Z 23 Aug 2016, 83.27, 28.81
12Z 25 Aug 2016, 0.00, 25.55
12Z 29 Aug 2016, 0.00, 24.58
12Z 30 Aug 2016, 0.00, 25.98
12Z 01 Sep 2016, 366.74, 39.93
12Z 07 Sep 2016, 566.27, 44.02
12Z 08 Sep 2016, 345.18, 37.85
12Z 13 Sep 2016, 382.01, 26.74
12Z 14 Sep 2016, 0.00, 12.78
12Z 21 Sep 2016, 0.00, 51.81
12Z 22 Sep 2016, 748.52, 46.54
12Z 26 Sep 2016, 0.00, 21.34
12Z 28 Sep 2016, 9.01, 29.70
12Z 29 Sep 2016, 0.00, 30.85
12Z 03 Oct 2016, 0.00, 4.61
12Z 04 Oct 2016, 0.00, 15.78
12Z 05 Oct 2016, 0.00, 15.77
12Z 06 Oct 2016, 0.00, 8.59
12Z 11 Oct 2016, 0.00, 19.57
12Z 12 Oct 2016, 0.00, 16.25
12Z 13 Oct 2016, 0.00, 13.39
12Z 17 Oct 2016, 0.00, 16.99
12Z 18 Oct 2016, 0.00, 17.42
12Z 19 Oct 2016, 0.00, 11.38
12Z 20 Oct 2016, 0.00, 11.21
12Z 24 Oct 2016, 0.00, 29.47
12Z 25 Oct 2016, 0.00, 30.71
12Z 26 Oct 2016, 0.00, 21.23
12Z 27 Oct 2016, 0.00, 19.82
12Z 31 Oct 2016, 0.00, 23.28
12Z 01 Nov 2016, 0.00, 10.94
12Z 02 Nov 2016, 0.00, 11.09
12Z 03 Nov 2016, 0.00, 17.14
12Z 07 Nov 2016, 0.00, 15.11
12Z 08 Nov 2016, 0.00, 18.12
12Z 09 Nov 2016, 0.00, 11.84
12Z 14 Nov 2016, 0.00, 9.56
12Z 15 Nov 2016, 0.00, 11.28
12Z 16 Nov 2016, 0.00, 9.65
12Z 21 Nov 2016, 332.98, 26.96
12Z 22 Nov 2016, 0.00, 12.84
12Z 23 Nov 2016, 0.00, 9.74
12Z 28 Nov 2016, 0.00, 10.13
12Z 29 Nov 2016, 0.00, 8.96
12Z 30 Nov 2016, 0.00, 7.29
12Z 01 Dec 2016, 0.00, 8.04